Neighborhood Name,Private Room Price,Entire home/apt Price,Price Difference
Norwood Park,218.28,252.780487804878,34.500487804878
Lake View,82.9285714285714,381.318367346939,298.389795918367
West Pullman,48.6,167.357142857143,118.757142857143
South Deering,67.0,176.183673469388,109.183673469388
Jefferson Park,80.7692307692308,187.923076923077,107.153846153846
North Center,103.0,173.619047619048,70.6190476190476
Mount Greenwood,85.75,179.58064516129,93.8306451612903
Gage Park,82.6666666666667,145.641791044776,62.9751243781094
Portage Park,70.5555555555556,191.569536423841,121.013980868286
Hermosa,75.375,165.985074626866,90.6100746268657
Logan Square,60.0588235294118,219.624277456647,159.565453927236
Belmont Cragin,62.6666666666667,142.448275862069,79.7816091954023
Douglas,49.125,167.614035087719,118.489035087719
Austin,1362.5625,222.608,-1139.9545
Greater Grand Crossing,82.8888888888889,172.131868131868,89.2429792429793
Loop,103.448275862069,247.475247524752,144.026971662683
West Garfield Park,72.5714285714286,168.923076923077,96.3516483516484
Ohare,98.0909090909091,175.291666666667,77.2007575757576
North Park,60.1,183.377777777778,123.277777777778
Brighton Park,45.2,286.333333333333,241.133333333333
Grand Boulevard,71.7857142857143,177.967213114754,106.18149882904
Chatham,130.25,199.307692307692,69.0576923076923
West Elsdon,181.222222222222,155.521739130435,-25.7004830917874
Garfield Ridge,75.0833333333333,168.026315789474,92.9429824561403
Roseland,30.2222222222222,143.447368421053,113.22514619883
Humboldt Park,55.5428571428571,184.984126984127,129.44126984127
Oakland,52.8125,208.525,155.7125
Woodlawn,64.9130434782609,220.166666666667,155.253623188406
Mckinley Park,50.1142857142857,217.985714285714,167.871428571429
Lincoln Park,103.066666666667,227.984251968504,124.917585301837
Albany Park,56.4333333333333,148.329113924051,91.8957805907173
Pullman,87.0,147.197530864198,60.1975308641975
Uptown,56.1944444444444,106.354838709677,50.160394265233
Avondale,77.1052631578947,163.488888888889,86.3836257309941
South Lawndale,55.4444444444444,172.4,116.955555555556
Montclare,52.45,165.357142857143,112.907142857143
West Englewood,46.0909090909091,182.677419354839,136.58651026393
East Garfield Park,44.9444444444444,144.428571428571,99.484126984127
Avalon Park,47.5,196.583333333333,149.083333333333
North Lawndale,55.4074074074074,418.029197080292,362.621789672885
Clearing,86.1428571428571,258.640625,172.497767857143
New City,47.8333333333333,190.686274509804,142.852941176471
Calumet Heights,137.941176470588,174.444444444444,36.5032679738562
West Town,67.15,235.637254901961,168.487254901961
Rogers Park,77.5,115.055555555556,37.5555555555556
Armour Square,76.5853658536585,251.309523809524,174.724157955865
Ashburn,73.3333333333333,242.230769230769,168.897435897436
Chicago Lawn,114.928571428571,198.04347826087,83.1149068322981
Edgewater,81.2142857142857,159.173333333333,77.9590476190476
Washington Heights,67.2727272727273,142.0,74.7272727272727
Edison Park,115.181818181818,173.777777777778,58.5959595959596
Dunning,5459.86666666667,168.730769230769,-5291.1358974359
East Side,48.6666666666667,232.363636363636,183.69696969697
West Lawn,56.2307692307692,155.0,98.7692307692308
Washington Park,746.25,134.25,-612.0
Morgan Park,51.8461538461539,192.6,140.753846153846
Auburn Gresham,50.5,125.45,74.95
Fuller Park,55.5714285714286,179.181818181818,123.61038961039
South Shore,66.1764705882353,202.964285714286,136.78781512605
Beverly,48.7307692307692,177.754098360656,129.023329129887
Near South Side,74.2352941176471,210.842794759825,136.607500642178
Archer Heights,157.761904761905,205.197080291971,47.435175530066
Kenwood,97.8823529411765,206.947368421053,109.065015479876
Hyde Park,179.4,198.798994974874,19.3989949748744
West Ridge,53.2083333333333,165.833333333333,112.625
South Chicago,103.272727272727,184.645161290323,81.3724340175953
Near North Side,177.290322580645,209.147492625369,31.8571700447236
Near West Side,57.1923076923077,202.333333333333,145.141025641026
Burnside,43.2727272727273,155.536585365854,112.263858093126
Lower West Side,57.4444444444444,142.239436619718,84.7949921752739
Forest Glen,73.8,142.235294117647,68.4352941176471
Lincoln Square,411.666666666667,120.048780487805,-291.617886178862
Hegewisch,37.0714285714286,153.473684210526,116.402255639098
Irving Park,56.0,136.916666666667,80.9166666666667
Englewood,39.9333333333333,113.117647058824,73.1843137254902
Bridgeport,44.125,167.161290322581,123.036290322581
